id,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
118,434.0,1,1,29.0,1,137555.44,2,1.0,1,152880.5,0
119,706.0,2,1,30.0,5,0.0,2,1.0,1,80425.65,0
120,758.0,0,0,46.0,2,0.0,1,1.0,0,173486.39,1
121,611.0,0,2,48.0,2,0.0,1,0.0,1,161435.02,1
122,762.0,0,1,29.0,8,0.0,2,1.0,0,43075.7,0
123,635.0,0,1,36.0,2,0.0,2,1.0,1,93835.64,0
124,706.0,0,0,42.0,8,0.0,2,1.0,0,167778.61,0
125,630.0,2,0,38.0,8,0.0,2,1.0,0,76614.41,0
126,709.0,0,0,37.0,1,0.0,2,1.0,1,170819.17,0
127,661.0,0,1,34.0,0,0.0,2,1.0,1,121299.65,0
128,633.0,1,0,52.0,3,103421.8,1,0.0,0,82298.81,1
129,682.0,2,1,34.0,5,102025.32,1,0.0,0,96542.0,0
130,683.0,0,1,32.0,2,0.0,1,0.0,0,125518.32,0
131,644.0,2,1,43.0,9,89800.14,1,0.0,0,162699.8,0
132,579.0,0,0,59.0,7,0.0,2,1.0,1,87067.73,0
133,731.0,0,0,33.0,6,0.0,2,1.0,0,109041.53,0
134,611.0,0,1,37.0,6,0.0,2,1.0,0,149991.32,0
135,592.0,1,0,47.0,5,140700.61,1,0.0,1,133501.45,1
136,571.0,0,0,32.0,2,131354.25,1,1.0,0,125256.53,0
137,748.0,1,0,28.0,7,133658.24,1,1.0,1,77951.84,0
138,613.0,0,1,37.0,3,0.0,2,0.0,1,142996.89,0
139,773.0,0,1,43.0,10,80673.96,1,1.0,0,72678.75,1
140,731.0,0,1,23.0,8,0.0,2,0.0,0,167723.25,0
141,727.0,0,1,26.0,8,0.0,2,1.0,1,193008.52,0
142,649.0,2,0,43.0,8,91711.66,1,1.0,1,146411.25,1
143,684.0,0,0,26.0,8,0.0,2,1.0,0,164074.89,0
144,681.0,0,1,34.0,5,127864.4,1,1.0,1,93829.73,0
145,835.0,0,0,37.0,4,0.0,1,0.0,0,158043.11,1
146,639.0,0,1,27.0,2,0.0,2,1.0,1,81753.92,0
147,587.0,1,0,32.0,8,129784.6,2,1.0,1,130514.78,0
148,765.0,1,0,36.0,8,92310.54,1,1.0,1,72924.56,1
149,632.0,1,0,42.0,7,131345.26,1,0.0,1,100101.06,1
150,667.0,2,1,39.0,3,0.0,2,1.0,0,143622.31,0
151,648.0,0,1,33.0,0,170228.59,1,1.0,1,15658.99,0
152,479.0,1,0,58.0,2,131644.0,1,1.0,1,152733.89,1
153,727.0,0,1,28.0,5,0.0,2,0.0,0,131763.67,0
154,678.0,2,0,25.0,3,0.0,2,0.0,1,125794.83,0
155,684.0,1,1,42.0,1,121240.54,2,1.0,0,142514.28,0
156,850.0,2,0,36.0,8,0.0,2,1.0,1,71865.31,0
157,674.0,0,1,28.0,7,0.0,1,1.0,0,151925.25,0
158,613.0,0,1,49.0,2,0.0,1,1.0,0,114403.51516338706,1
159,594.0,0,1,51.0,2,0.0,2,1.0,1,75860.01,1
160,712.0,0,0,43.0,4,0.0,2,0.0,0,117038.96,0
161,659.0,2,0,46.0,2,0.0,1,1.0,0,116471.26,1
162,655.0,1,0,24.0,3,110581.29,2,0.0,0,128528.61,0
163,706.0,0,0,38.0,7,0.0,2,0.0,0,933.38,0
164,723.0,0,0,41.0,6,0.0,2,1.0,1,64375.4,0
165,590.0,0,1,38.0,9,125847.75,1,1.0,0,73679.61,0
166,539.0,0,0,30.0,1,0.0,2,1.0,0,152577.28,0
167,615.0,0,0,38.0,3,141581.08,1,1.0,0,177524.19,0
168,788.0,0,1,31.0,10,0.0,2,1.0,0,116111.51,0
169,359.0,0,0,44.0,6,128747.69,1,0.0,1,146955.71,0
170,753.0,0,0,43.0,1,0.0,2,1.0,0,82867.55,0
171,667.0,0,1,32.0,9,120108.76,1,1.0,0,131803.09,0
172,660.0,0,0,33.0,0,83036.05,1,0.0,0,154990.58,1
173,517.0,0,1,44.0,3,80958.36,1,1.0,0,98178.57,0
174,740.0,2,0,33.0,4,0.0,2,1.0,1,85016.64,0
175,684.0,0,1,32.0,8,0.0,1,1.0,0,187955.74,0
176,663.0,0,0,36.0,7,0.0,1,0.0,0,113096.55,0
177,694.0,2,0,37.0,8,0.0,2,0.0,0,128918.42,0
178,696.0,0,1,37.0,2,0.0,2,1.0,1,114035.72,0
179,721.0,2,0,34.0,1,0.0,2,1.0,1,183492.9,0
180,578.0,0,1,38.0,9,0.0,2,1.0,0,61290.99,0
181,632.0,0,1,43.0,2,100013.51,2,1.0,0,24275.32,0
182,674.0,2,1,51.0,0,0.0,4,0.0,1,145562.4,1
183,610.0,0,0,30.0,2,0.0,2,1.0,1,176780.38,0
184,663.0,2,0,33.0,2,0.0,2,1.0,0,138547.22,0
185,718.0,0,1,42.0,8,0.0,1,1.0,0,126561.07,1
186,678.0,1,0,29.0,0,160579.17,2,0.0,1,18761.25,0
187,765.0,1,0,32.0,1,118897.1,1,0.0,1,62972.13,0
188,627.0,0,1,33.0,1,93580.32,1,1.0,1,143881.96,0
189,727.0,0,1,32.0,2,0.0,1,1.0,0,184514.01,0
190,705.0,0,1,26.0,3,0.0,1,1.0,1,5199.02,0
191,707.0,0,1,58.0,9,89685.92,2,0.0,1,126471.13,0
192,542.0,1,1,33.0,8,125584.17,1,1.0,0,170634.49,0
193,703.0,0,0,56.0,8,0.0,1,1.0,0,163558.36,1
194,558.0,0,1,40.0,7,0.0,2,0.0,0,52327.57,0
195,636.0,2,0,71.0,7,0.0,2,1.0,1,73585.18,1
196,635.0,2,0,37.0,9,0.0,1,1.0,0,26389.62,0
197,624.0,1,1,29.0,4,107839.9,2,1.0,1,75578.67,0
198,583.0,1,1,35.0,9,129847.75,2,1.0,1,197325.4,0
199,703.0,1,2,50.0,3,98862.54,1,0.0,0,151516.7,1
200,590.0,0,1,37.0,6,0.0,2,1.0,1,72462.25,0
201,718.0,0,1,37.0,8,0.0,2,1.0,0,70810.8,0
202,601.0,0,0,27.0,0,0.0,2,0.0,1,102515.58,0
203,625.0,0,1,43.0,9,0.0,2,0.0,0,112084.49151504686,0
204,645.0,0,1,40.0,9,124043.0,1,0.0,1,187964.55,0
205,731.0,0,1,25.0,9,0.0,2,1.0,1,183872.88,0
206,659.0,2,1,33.0,4,0.0,1,1.0,0,29664.45,0
207,591.0,1,1,32.0,3,95900.04,2,1.0,0,171070.39,0
208,678.0,0,1,33.0,2,182888.08,1,1.0,0,3061.0,1
209,596.0,0,0,40.0,7,0.0,2,1.0,0,91830.75,0
210,507.0,0,0,29.0,6,89349.47,2,0.0,0,180626.68,0
211,770.0,0,0,32.0,9,0.0,2,0.0,1,32683.88,0
212,756.0,0,1,20.0,2,0.0,2,1.0,1,123450.58,0
213,695.0,2,0,56.0,5,0.0,3,0.0,0,85185.44,1
214,632.0,0,0,32.0,9,0.0,2,1.0,1,170819.01,0
215,644.0,0,1,35.0,2,0.0,3,1.0,1,94148.3,0
216,633.0,0,1,30.0,10,0.0,2,1.0,0,79503.06,0
217,707.0,0,0,31.0,5,0.0,2,0.0,0,172601.74,0
218,682.0,0,0,41.0,5,0.0,2,1.0,0,79577.33,0
219,632.0,0,1,26.0,10,136924.26,1,1.0,1,180598.66,0
220,662.0,2,1,35.0,2,0.0,2,1.0,1,54949.32,0
221,682.0,0,1,33.0,9,0.0,2,1.0,1,149474.97,0
222,567.0,0,0,38.0,5,0.0,2,1.0,1,93953.84,0
223,744.0,1,1,53.0,8,108004.64,4,1.0,0,140941.46,1
224,645.0,1,1,24.0,1,122532.35,1,1.0,0,170968.47,0
225,773.0,0,1,26.0,3,129118.5,1,1.0,0,64511.44,0
226,593.0,0,1,32.0,4,0.0,2,1.0,1,131953.94,0
227,775.0,0,1,31.0,7,0.0,2,1.0,0,127433.47,0
228,749.0,1,0,24.0,4,100735.57,2,1.0,1,80190.36,1
229,625.0,0,1,31.0,3,138705.02,1,1.0,0,176728.28,0
230,706.0,0,1,41.0,4,148874.68,1,0.0,1,27468.12,0
231,635.0,1,0,40.0,7,106261.67,2,1.0,1,50774.01,0
232,595.0,2,0,41.0,3,86973.65,1,1.0,1,129955.54,0
233,699.0,0,1,47.0,1,0.0,1,1.0,0,198817.72,1
234,695.0,0,0,42.0,0,0.0,2,0.0,1,140724.64,0
235,711.0,2,0,45.0,9,91285.22,1,1.0,0,62825.03,0
236,736.0,0,1,36.0,6,0.0,2,1.0,1,61164.45,0
237,724.0,0,0,62.0,4,0.0,1,1.0,1,179913.54,1
238,667.0,1,1,44.0,2,144772.69,3,1.0,1,60906.12,1
239,685.0,0,1,29.0,0,142703.4,1,1.0,0,113926.71,0
240,681.0,1,1,50.0,1,125841.59,2,1.0,1,115287.84,1
241,731.0,1,0,49.0,10,137494.28,1,1.0,0,92824.92,1
242,659.0,1,0,57.0,5,128264.03,1,1.0,1,19150.14,1
243,683.0,0,1,41.0,2,0.0,2,1.0,0,119882.86,0
244,553.0,2,1,35.0,3,0.0,2,1.0,1,48505.1,0
245,751.0,1,1,39.0,8,85982.89,1,1.0,0,94499.05,1
246,595.0,0,0,32.0,5,0.0,1,0.0,0,105476.65,1
247,646.0,1,0,64.0,8,160858.13,1,1.0,0,61936.22,1
248,670.0,0,0,35.0,5,123873.23,1,1.0,0,119759.24,0
249,741.0,0,1,38.0,7,0.0,2,0.0,1,176750.81,1
250,543.0,0,1,22.0,3,0.0,2,0.0,0,127587.22,0
251,588.0,0,1,44.0,2,0.0,2,0.0,0,86410.53,0
252,754.0,1,0,29.0,7,139432.37,1,1.0,1,114072.91,0
253,691.0,0,0,25.0,3,0.0,2,1.0,1,106837.06,0
254,678.0,1,0,22.0,6,157622.58,2,1.0,0,67961.87,0
255,678.0,1,0,38.0,2,106942.08,1,1.0,1,4400.32,0
256,676.0,1,0,34.0,5,89437.03,3,1.0,0,189540.95,1
257,641.0,2,1,41.0,9,0.0,2,1.0,0,53311.29,0
258,714.0,0,1,40.0,4,0.0,2,1.0,1,122960.98,0
259,709.0,0,1,34.0,8,0.0,1,1.0,1,117828.96,0
260,559.0,1,0,27.0,7,131244.65,1,1.0,0,91763.67,0
261,679.0,0,1,40.0,10,0.0,2,1.0,1,91622.44,0
262,663.0,0,0,28.0,3,142644.64,1,1.0,1,55868.97,0
263,644.0,0,1,25.0,10,0.0,1,0.0,1,180142.42,0
264,523.0,2,1,39.0,5,0.0,1,1.0,1,92455.96,0
265,754.0,0,0,28.0,8,0.0,2,1.0,0,194930.3,0
266,621.0,0,0,32.0,7,0.0,2,1.0,1,126193.54,0
267,659.0,1,1,39.0,8,123981.31,1,1.0,1,107890.35,1
268,589.0,0,1,37.0,7,0.0,2,1.0,0,66796.92,0
269,683.0,0,0,33.0,8,0.0,2,1.0,1,171378.77,0
270,639.0,0,0,33.0,3,0.0,2,1.0,1,168816.33,0
271,850.0,1,2,39.0,8,151762.74,2,1.0,0,113946.59,0
272,582.0,0,0,41.0,1,0.0,2,0.0,1,126477.41,0
273,727.0,1,1,35.0,9,140966.55,1,1.0,1,179227.21,0
274,579.0,0,1,29.0,4,118342.26,2,0.0,1,161574.19,0
275,648.0,1,0,37.0,3,91718.9,1,1.0,1,79602.8,0
276,730.0,0,1,38.0,6,0.0,2,1.0,1,178361.04,0
277,679.0,2,0,35.0,8,0.0,1,0.0,0,164453.98,1
278,744.0,0,0,62.0,7,0.0,3,1.0,1,83949.68,1
279,642.0,0,1,37.0,1,160541.36,2,1.0,0,142223.94,0
280,699.0,2,0,59.0,2,131607.33,1,1.0,1,171645.31,1
281,600.0,0,1,31.0,10,0.0,1,0.0,1,112084.49151504686,0
282,732.0,2,1,37.0,1,0.0,1,0.0,1,150784.26,0
283,632.0,0,1,36.0,2,0.0,2,1.0,1,157527.6,0
284,727.0,2,1,33.0,10,127822.93,1,1.0,1,62703.5,0
285,698.0,0,0,36.0,8,0.0,2,1.0,1,13387.88,0
286,699.0,0,1,37.0,10,88915.85,1,1.0,1,77965.44,0
287,682.0,0,0,38.0,9,123974.69,1,0.0,1,106763.58,0
288,648.0,1,1,40.0,8,92436.86,2,1.0,1,137963.0,0
289,469.0,0,0,35.0,3,0.0,2,1.0,0,164113.04,0
290,431.0,0,0,66.0,1,120764.08,1,0.0,1,117023.08,0
291,525.0,0,0,35.0,0,0.0,2,0.0,0,131521.72,0
292,559.0,0,1,48.0,8,0.0,3,1.0,0,176778.52,1
293,756.0,2,0,28.0,2,109528.14,1,1.0,0,157822.94,1
294,591.0,0,1,40.0,2,166034.04,1,1.0,1,130664.82,0
295,652.0,2,0,40.0,7,100471.34,1,0.0,1,107890.69,0
296,762.0,1,0,49.0,2,120140.59,2,1.0,0,161882.81,1
297,691.0,0,1,32.0,8,89047.61,2,1.0,1,58976.8,0
298,520.0,2,1,33.0,3,0.0,2,1.0,1,147545.65,0
299,647.0,2,1,44.0,6,93960.35,1,1.0,0,36579.53,0
300,470.0,2,1,39.0,5,117468.67,1,0.0,0,63705.9,0
301,692.0,1,0,39.0,1,81710.46,2,1.0,1,75969.39,0
302,532.0,2,1,24.0,8,142755.25,1,0.0,1,34231.48,0
303,714.0,0,1,29.0,1,0.0,2,1.0,1,86479.49,0
304,686.0,2,1,34.0,2,0.0,2,1.0,0,127569.8,0
305,543.0,0,1,35.0,7,0.0,2,0.0,1,56767.91,0
306,641.0,2,0,55.0,8,0.0,2,1.0,0,91285.88,1
307,651.0,0,1,46.0,1,98899.76,1,1.0,1,86190.34,0
308,644.0,2,1,30.0,8,0.0,2,0.0,1,140929.98,0
309,679.0,0,0,47.0,2,114427.86,1,1.0,1,198266.57,0
310,634.0,0,1,57.0,8,114510.57,1,1.0,0,82647.63,1
311,554.0,2,1,37.0,9,0.0,2,1.0,1,160110.65,0
312,850.0,1,0,35.0,3,129668.43,2,1.0,1,88743.99,0
313,659.0,0,1,30.0,2,0.0,2,0.0,0,84760.32,0
314,792.0,1,1,50.0,9,146720.98,1,0.0,1,146875.86,0
315,582.0,2,1,37.0,4,0.0,2,1.0,1,152479.64,0
316,638.0,0,1,36.0,4,133889.35,1,1.0,1,76611.33,0
317,616.0,0,1,35.0,10,0.0,1,0.0,1,97414.92,0
318,593.0,0,1,36.0,9,0.0,1,0.0,1,177065.24,0
319,694.0,2,0,46.0,7,117070.72,3,1.0,1,81753.92,1
320,671.0,0,0,36.0,6,0.0,1,1.0,1,143668.44,0
321,569.0,0,1,37.0,9,178755.84,1,1.0,0,199929.17,0
322,540.0,0,1,25.0,3,0.0,2,1.0,1,121098.65,0
323,592.0,1,1,41.0,6,140197.01,1,1.0,1,116471.26,0
324,685.0,0,0,39.0,9,0.0,1,1.0,0,93982.15,1
325,613.0,1,1,40.0,5,97067.69,1,1.0,1,74760.32,0
326,821.0,0,0,37.0,4,0.0,2,1.0,0,148564.76,0
327,822.0,0,1,36.0,8,121359.73,1,1.0,0,179964.5,0
328,850.0,1,0,29.0,1,154640.41,1,1.0,1,164039.51,0
329,633.0,0,0,37.0,0,0.0,2,0.0,1,133692.88,0
330,683.0,0,1,31.0,1,122874.55,2,0.0,1,131802.44,0
331,751.0,1,0,43.0,3,132906.88,1,1.0,0,149170.25,1
332,639.0,2,1,43.0,1,103421.44,1,0.0,1,126734.84,0
333,706.0,0,1,30.0,8,0.0,2,1.0,0,168544.86,0
334,543.0,0,0,37.0,7,0.0,1,1.0,1,56583.88,0
335,685.0,2,1,40.0,6,0.0,2,1.0,0,93091.02,0
336,584.0,0,1,42.0,8,0.0,2,0.0,0,177738.93,0
337,762.0,2,0,34.0,8,0.0,2,1.0,0,88890.05,0
338,703.0,0,1,29.0,6,121647.54,1,1.0,1,139946.68,0
339,592.0,0,1,27.0,6,0.0,2,0.0,0,95423.88,0
340,679.0,0,0,26.0,5,0.0,2,1.0,1,81442.6,0
341,674.0,0,1,37.0,3,132767.67,1,1.0,1,121765.9,0
342,716.0,0,1,52.0,9,0.0,2,1.0,0,88866.82,1
343,557.0,0,1,39.0,8,146200.01,2,0.0,0,177944.64,0
344,689.0,2,0,45.0,1,0.0,1,0.0,1,125939.22,0
345,521.0,2,0,34.0,4,70731.07,1,1.0,1,20243.97,0
346,773.0,2,1,35.0,10,0.0,2,1.0,0,110916.15,0
347,659.0,2,1,40.0,9,128366.44,1,1.0,1,84976.2,0
348,678.0,1,0,32.0,7,148843.56,2,0.0,1,129964.94,0
349,604.0,2,1,48.0,0,0.0,2,1.0,1,59645.88,0
350,577.0,0,0,46.0,1,0.0,3,1.0,0,6078.31,1
351,551.0,0,1,36.0,7,0.0,2,1.0,1,190194.95,0
352,699.0,0,0,33.0,2,0.0,2,1.0,1,120511.12,0
353,628.0,0,0,46.0,0,141749.68,1,1.0,0,104889.3,0
354,694.0,0,1,34.0,3,0.0,2,0.0,1,112187.04,0
355,604.0,0,1,29.0,5,0.0,1,1.0,0,38794.63,0
356,581.0,1,1,56.0,4,140891.46,1,1.0,0,86383.82,0
357,682.0,0,1,38.0,8,152210.41,1,1.0,1,140760.31,0
358,583.0,0,1,35.0,8,0.0,2,1.0,0,170483.9,0
359,593.0,0,1,38.0,7,0.0,2,1.0,0,121592.5,0
360,687.0,0,0,26.0,7,0.0,2,1.0,0,182591.34,0
361,567.0,0,0,31.0,2,0.0,2,1.0,0,93336.3,0
362,568.0,0,0,30.0,9,139356.3,1,1.0,1,60972.84,0
363,597.0,0,0,25.0,2,0.0,2,1.0,0,185855.14,0
364,850.0,0,1,36.0,9,89696.84,1,1.0,1,126792.69,0
365,695.0,2,0,33.0,10,110928.51,1,1.0,0,123906.97,0
366,556.0,0,0,36.0,9,0.0,2,1.0,1,17163.75,0
367,649.0,0,0,37.0,8,114737.26,2,1.0,1,106655.88,1
368,671.0,0,0,33.0,5,0.0,2,1.0,0,91056.46,0
369,449.0,1,0,28.0,8,139994.55,2,1.0,1,132873.56,0
370,633.0,0,1,45.0,1,0.0,3,1.0,0,141152.08,1
371,661.0,0,0,41.0,2,105229.53,1,1.0,1,144874.67,0
372,717.0,0,1,47.0,9,95120.59,1,0.0,0,127875.1,0
373,599.0,2,1,44.0,8,0.0,2,1.0,0,177619.44,0
374,713.0,2,1,39.0,5,0.0,2,1.0,0,167682.37,1
375,536.0,0,1,29.0,6,121854.45,1,1.0,0,130486.57,0
376,684.0,0,1,25.0,1,0.0,2,0.0,0,90967.77,0
377,657.0,1,0,39.0,1,124182.22,2,1.0,1,132480.75,0
378,583.0,2,1,45.0,9,0.0,3,0.0,1,198182.84,0
379,712.0,2,1,40.0,6,0.0,1,1.0,0,86022.43,1
380,452.0,0,0,34.0,5,0.0,2,1.0,0,49915.52,0
381,753.0,0,1,41.0,3,79871.02,1,1.0,0,138380.11,0
382,719.0,0,1,37.0,5,154741.49,1,0.0,0,51555.88,0
383,683.0,1,1,34.0,4,112290.22,1,1.0,0,2465.8,0
384,595.0,0,0,32.0,7,67495.04,2,0.0,1,77330.35,0
385,681.0,0,0,30.0,9,0.0,2,0.0,1,47729.33,0
386,564.0,0,1,33.0,3,0.0,2,1.0,0,152054.94,0
387,484.0,0,1,35.0,7,164701.68,1,1.0,1,85412.24,0
388,743.0,0,1,36.0,7,0.0,2,1.0,1,116547.03,0
389,644.0,0,0,35.0,2,92887.13,1,1.0,1,143913.33,0
